,Fragile States Index 2014,Total,Demographic Pressures,Refugees and IDPs,Group Grievance,Human Flight,Uneven Development,Poverty and Economic Decline,Legitimacy of the State,Public Services,Human Rights,Security Apparatus,Factionalized Elites,External Intervention,Status,Population (millions),Neighbors with Equal or Lesser Stability
73,Nicaragua,78,5,5,6,8,8,6,8,7,5,5,7,8,Warning,6,125
74,Benin,78,6,6,4,6,7,7,6,9,5,6,6,8,Warning,10,125
74,Turkmenistan,78,6,4,7,5,7,5,10,6,8,7,8,5,Warning,5,125
75,Honduras,78,4,4,6,6,8,7,7,7,6,6,7,7,Warning,8,125
76,Azerbaijan,78,9,8,7,5,6,4,8,5,8,7,8,7,Warning,10,125
78,Tunisia,77,3,4,8,5,6,6,8,5,8,7,8,7,Warning,11,125
79,Ecuador,77,1,6,7,6,7,6,7,7,5,6,8,6,Warning,16,125
80,Thailand,77,6,6,8,4,6,4,7,5,7,8,9,5,Warning,66,125
81,India,77,7,5,8,5,8,6,5,7,6,8,7,5,Warning,1296,125
82,Indonesia,77,2,6,8,6,7,5,6,6,6,6,7,6,Warning,252,125
83,Jordan,77,9,8,7,4,6,7,6,5,7,5,7,6,Warning,8,125
83,Venezuela,77,3,5,7,5,7,5,8,7,8,6,8,5,Warning,30,125
85,Russia,76,7,5,8,5,7,4,8,5,9,9,8,4,Warning,144,125
86,Bosnia,76,6,7,7,6,6,5,7,4,6,6,9,8,Warning,4,125
87,Sao Tome,76,9,5,5,8,7,8,7,6,4,6,6,8,Warning,0,125
88,Maldives,75,9,5,5,6,4,7,8,6,7,6,8,7,Warning,0,125
89,Moldova,75,8,5,6,7,6,7,7,5,6,7,8,7,Warning,4,125
90,Belarus,75,2,4,7,4,5,6,9,5,8,6,8,7,Warning,10,125
91,Micronesia,75,4,3,4,9,8,8,6,6,3,5,6,8,Warning,0,125
92,Morocco,74,7,6,7,7,7,6,7,6,6,6,7,5,Warning,33,125
93,Cape Verde,74,4,4,4,9,7,6,6,7,5,6,5,8,Warning,0,125
93,Turkey,74,9,7,9,4,6,5,6,5,6,7,7,5,Warning,77,125
95,Dominican Republic,73,4,6,6,8,7,5,6,6,6,5,6,6,Warning,10,125
96,Saudi Arabia,73,1,5,8,3,6,4,8,4,9,7,8,5,Warning,31,125
97,Peru,73,3,5,7,6,7,4,7,7,5,7,7,4,Warning,31,125
98,Vietnam,73,7,5,6,5,6,6,8,5,8,5,7,5,Warning,91,125
99,Gabon,72,7,5,4,5,7,5,8,7,7,5,7,5,Warning,2,125
100,El Salvador,72,10,6,6,7,7,6,6,6,6,6,4,5,Warning,6,125
100,Serbia,72,9,6,8,5,6,6,6,4,5,6,8,7,Warning,7,125
102,Paraguay,72,9,3,6,5,9,5,7,6,6,6,8,4,Warning,7,125
103,Namibia,71,4,6,6,7,8,7,4,7,5,5,3,7,Warning,2,125
104,Armenia,71,4,7,6,6,5,6,7,4,7,6,7,6,Warning,3,125
105,Mexico,71,4,4,6,6,7,5,6,6,6,8,5,6,Warning,120,125
106,Guyana,71,9,4,6,9,6,7,6,6,4,5,5,6,Warning,1,125
107,Cuba,71,7,5,5,6,6,5,7,5,7,6,7,6,Warning,11,125
108,Ghana,71,2,6,5,7,7,6,5,8,5,4,5,6,Warning,27,125
109,Suriname,71,2,3,6,7,7,7,6,5,5,6,6,6,Warning,1,125
110,Samoa,69,7,2,5,9,6,6,6,5,5,5,5,8,Warning,0,125
111,Kazakhstan,68,8,4,6,4,5,6,8,5,7,6,8,5,Warning,17,125
112,Cyprus,68,8,4,7,5,7,6,6,3,4,5,8,9,Warning,1,125
113,Ukraine,67,8,3,6,5,5,5,8,4,6,5,8,6,Warning,43,125
114,Belize,67,6,5,4,7,6,6,6,6,4,5,4,7,Warning,0,125
115,South Africa,67,1,6,6,5,8,6,5,6,4,5,6,3,Warning,54,125
116,Macedonia,66,5,5,7,6,6,6,6,4,4,6,7,6,Warning,2,125
117,Malaysia,66,1,4,6,5,6,4,7,5,7,6,7,4,Warning,30,125
118,Grenada,65,9,3,4,8,6,6,6,4,4,5,6,7,Warning,0,125
119,Jamaica,65,3,3,4,7,6,7,6,6,5,6,4,6,Warning,3,125
120,Bahrain,65,9,3,8,3,5,3,8,2,8,6,7,6,Warning,1,125
121,Botswana,64,10,5,5,5,8,6,4,6,5,3,3,5,Warning,2,125
122,Seychelles,64,7,3,5,5,6,5,6,3,5,6,6,7,Warning,0,125
123,Albania,64,6,3,5,7,4,5,6,5,5,5,6,6,Warning,3,125
123,Brunei,64,4,3,6,5,8,3,7,2,7,6,7,4,Warning,0,125
125,Brazil,61,6,4,6,4,8,4,5,6,6,6,5,3,Warning,203,125
126,Trinidad,61,9,3,4,8,6,5,5,5,5,5,6,4,Warning,1,125
127,Antigua & Barbuda,59,5,3,4,8,5,4,6,4,5,5,4,6,Stable,0,164
127,Kuwait,59,9,4,5,3,5,3,7,3,7,4,8,4,Stable,4,164
129,Mongolia,58,6,2,4,3,6,5,5,6,5,4,5,6,Stable,3,164
130,Romania,57,1,3,7,4,5,6,6,5,4,4,5,4,Stable,20,164
131,Montenegro,56,8,5,7,3,3,5,4,4,4,4,6,6,Stable,1,164
131,Panama,56,4,4,5,4,8,4,5,5,5,5,2,3,Stable,4,164
133,Bulgaria,54,9,3,5,5,5,5,5,4,4,4,5,5,Stable,7,164
